,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
2519,0.38064000000000003,0.40383,0.43615,0.49181,0.57225,0.6289899999999999,0.6533800000000001,0.66792,0.67794,0.68358,0.69304,0.7008,0.69621,0.68086,0.64491,0.5905,0.52408,0.46213999999999994,0.40755,0.36903,0.35919,0.38887,0.42585,0.49238000000000004,0.5756899999999999,0.62665,0.6524,0.67084,0.68567,0.69805,0.71392,0.7239,0.72116,0.70665,0.66988,0.6151,0.55024,0.48936,0.43492,0.39479000000000003,3
3139,0.63634,0.66046,0.6847300000000001,0.7126,0.75259,0.80432,0.8489200000000001,0.8555,0.84231,0.8146800000000001,0.7742,0.7230300000000001,0.66164,0.60004,0.5384,0.47178000000000003,0.39674,0.30746999999999997,0.21056,0.13398,0.13480999999999999,0.21723,0.31240999999999997,0.4002,0.46735,0.53295,0.6004,0.66965,0.73227,0.7801,0.81472,0.83544,0.8367700000000001,0.81363,0.773,0.73319,0.69302,0.65561,0.62552,0.6079600000000001,5
5393,0.30908,0.34753,0.40481,0.49438000000000004,0.57562,0.6301800000000001,0.67208,0.7054199999999999,0.73028,0.74461,0.7467699999999999,0.73627,0.71335,0.68065,0.6402,0.58749,0.51442,0.44056000000000006,0.37327,0.32199,0.3094,0.34775,0.40481,0.49423,0.57553,0.63015,0.67199,0.70526,0.7300399999999999,0.7443,0.74641,0.73585,0.7128800000000001,0.68014,0.63965,0.58691,0.51385,0.43998000000000004,0.37272,0.3215,7
5835,0.36991999999999997,0.40983,0.46169,0.53586,0.6150100000000001,0.66905,0.70113,0.72544,0.7434,0.75961,0.7762600000000001,0.7802,0.77103,0.74687,0.70225,0.64486,0.5844,0.52678,0.47826,0.44738,0.44666000000000006,0.48086,0.51773,0.57107,0.63918,0.70219,0.73441,0.7490399999999999,0.75389,0.7508199999999999,0.74502,0.74052,0.72447,0.69681,0.6534399999999999,0.5919300000000001,0.52242,0.45607,0.40059,0.36708,8
1843,0.33813000000000004,0.35557,0.38685,0.45691000000000004,0.5269,0.56776,0.61568,0.66485,0.70786,0.7406,0.76074,0.76755,0.76097,0.7415,0.7037899999999999,0.64565,0.57063,0.49438000000000004,0.42345,0.36617,0.33776,0.35512,0.38638,0.45646000000000003,0.5264,0.56735,0.61535,0.6645800000000001,0.70765,0.74044,0.76062,0.76748,0.76094,0.7415,0.70377,0.64562,0.57062,0.49446,0.42361000000000004,0.36641999999999997,9
1902,0.39912,0.42016000000000003,0.45377,0.5151,0.6035,0.6652899999999999,0.69439,0.71401,0.72973,0.74185,0.75794,0.7699,0.76798,0.75488,0.72636,0.67245,0.59649,0.52857,0.46886000000000005,0.42226,0.401,0.42186999999999997,0.45538,0.5161100000000001,0.60426,0.6664100000000001,0.6954899999999999,0.7148800000000001,0.73026,0.7418600000000001,0.75742,0.76915,0.7670399999999999,0.7537699999999999,0.7253,0.67151,0.59541,0.5271600000000001,0.46725,0.42049,0
955,0.40008,0.42103,0.45458999999999994,0.51561,0.6038899999999999,0.66587,0.69495,0.71445,0.73,0.7418600000000001,0.75767,0.76951,0.7675,0.75431,0.72582,0.67197,0.5959399999999999,0.52785,0.46803999999999996,0.42135,0.40008,0.42103,0.45458999999999994,0.51561,0.6038899999999999,0.66587,0.69495,0.71445,0.73,0.7418600000000001,0.75767,0.76951,0.7675,0.75431,0.72582,0.67197,0.5959399999999999,0.52785,0.46803999999999996,0.42135,0
115,0.3792,0.41608999999999996,0.46187,0.53176,0.61115,0.6646,0.6902699999999999,0.7058800000000001,0.71541,0.71902,0.7249,0.72672,0.7157600000000001,0.6942699999999999,0.65255,0.59282,0.52289,0.46006,0.40785,0.37587,0.37940999999999997,0.41638000000000003,0.46212,0.53189,0.61131,0.66491,0.69063,0.70622,0.71573,0.71928,0.7250800000000001,0.72688,0.71586,0.69439,0.65278,0.59309,0.5230100000000001,0.46008999999999994,0.40776999999999997,0.37573,5
4141,0.3792,0.41608999999999996,0.46188,0.53177,0.61116,0.6646,0.69028,0.70589,0.71542,0.7190300000000001,0.72491,0.72673,0.71577,0.69428,0.65256,0.59283,0.5229,0.46007,0.40785,0.37588,0.37940999999999997,0.41638000000000003,0.46212,0.53189,0.61131,0.66491,0.69063,0.70621,0.71572,0.71927,0.72507,0.72687,0.71585,0.69438,0.65277,0.59308,0.523,0.46008000000000004,0.40776,0.37572,5
190,0.34959,0.36937,0.4119,0.5004,0.59304,0.64318,0.69243,0.7407100000000001,0.7825300000000001,0.81347,0.83086,0.8336100000000001,0.8217700000000001,0.79611,0.7571100000000001,0.69468,0.60747,0.52366,0.44603999999999994,0.38163,0.34829,0.36815,0.41085,0.49967,0.59206,0.64225,0.69189,0.74047,0.78251,0.81363,0.8311799999999999,0.8340700000000001,0.8223799999999999,0.79692,0.75803,0.6955100000000001,0.60832,0.52464,0.44714,0.38285,1
4370,0.34121999999999997,0.37196999999999997,0.41926,0.51261,0.60123,0.64912,0.69805,0.7448600000000001,0.78441,0.81267,0.8272799999999999,0.82736,0.81304,0.78368,0.73606,0.66786,0.58575,0.50353,0.42661000000000004,0.36654000000000003,0.3418,0.37254,0.41976,0.5130399999999999,0.60178,0.6496,0.69838,0.74508,0.7845300000000001,0.81271,0.82726,0.8272700000000001,0.81288,0.78345,0.7358,0.6676300000000001,0.5854699999999999,0.5031899999999999,0.42618999999999996,0.36604000000000003,6
1221,0.34835,0.3682,0.41088,0.49968,0.59208,0.64227,0.6919,0.74046,0.7825,0.81361,0.83115,0.83404,0.82234,0.79687,0.75798,0.6954600000000001,0.60827,0.52459,0.44708000000000003,0.3828,0.34954,0.36933,0.41186000000000006,0.50038,0.59302,0.6431600000000001,0.69242,0.7407199999999999,0.78255,0.8134899999999999,0.83089,0.8336399999999999,0.82181,0.7961600000000001,0.75716,0.69472,0.60752,0.52371,0.44609,0.38168,1
1602,0.3459,0.38090999999999997,0.43812,0.53227,0.61465,0.66794,0.71859,0.76352,0.79945,0.82311,0.83255,0.82719,0.80755,0.77485,0.7302,0.66405,0.57427,0.49044,0.41648999999999997,0.36123,0.34638,0.38139,0.43851999999999997,0.53264,0.61511,0.6683100000000001,0.71885,0.76369,0.79955,0.82314,0.83252,0.82711,0.80742,0.77464,0.7299399999999999,0.66381,0.57403,0.49013,0.41612,0.3608,4
