,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
5648,0.22341999999999998,0.25411999999999996,0.28643,0.31319,0.34315,0.36074,0.35465,0.33259,0.30391,0.27957,0.26797,0.26356,0.26615,0.26998,0.25328,0.22841,0.21561999999999998,0.2096,0.19471,0.18646,0.20279,0.23585,0.26927,0.29691,0.32838,0.34395,0.33593,0.31406999999999996,0.28844000000000003,0.27213000000000004,0.26818000000000003,0.27203,0.28187,0.28833000000000003,0.27163000000000004,0.24735,0.237,0.23146,0.21714,0.20806999999999998,3
3299,0.15633,0.19569,0.23445,0.26663000000000003,0.29834,0.32187,0.32504,0.3152,0.297,0.27381,0.24969,0.22218000000000002,0.19308,0.16280999999999998,0.14207,0.12544,0.12800999999999998,0.1328,0.1314,0.13442,0.15897,0.19834000000000002,0.23706999999999998,0.2693,0.30109,0.32466,0.32771999999999996,0.31786,0.2996,0.27628,0.25195,0.22409,0.19455,0.1637,0.14225,0.1238,0.12616,0.1308,0.12914,0.13198,5
331,0.47297,0.46513999999999994,0.44936000000000004,0.42771000000000003,0.40593,0.36748000000000003,0.31127,0.24731999999999998,0.18506,0.165,0.21004,0.27152,0.33197,0.38771,0.43075,0.44727,0.44743999999999995,0.46258,0.47353,0.47691000000000006,0.47502,0.46713999999999994,0.45131000000000004,0.42954,0.40775,0.36937,0.31312,0.24909,0.18648,0.16479000000000002,0.20855,0.26983,0.33018000000000003,0.38585,0.42898000000000003,0.44553000000000004,0.44556,0.46058000000000004,0.4715,0.47485,1
1483,0.47501000000000004,0.46713000000000005,0.4513,0.42953,0.40774,0.36935999999999997,0.31311,0.24909,0.18647,0.16479000000000002,0.20855,0.26984,0.33018000000000003,0.38586,0.42899,0.44553999999999994,0.44556,0.46058999999999994,0.47151000000000004,0.47486000000000006,0.47298,0.46515,0.44937,0.42772,0.40593,0.36749,0.31128,0.24733000000000002,0.18507,0.165,0.21003000000000002,0.27151,0.33197,0.3877,0.43073999999999996,0.44726000000000005,0.44743,0.46257,0.47352,0.4769,1
1991,0.21134,0.24343,0.27642,0.30363,0.33465,0.35108,0.34379,0.32178,0.29470999999999997,0.27486,0.26769,0.268,0.27496,0.2805,0.26371999999999995,0.23919,0.22793000000000002,0.2222,0.20763,0.19888,0.21399,0.24573000000000003,0.27858,0.30565,0.33639,0.35315,0.34618000000000004,0.32415,0.29664,0.27568000000000004,0.26752,0.26679,0.2729,0.27826,0.26156,0.23695,0.22519,0.21936999999999998,0.20472,0.19607,3
6016,0.51715,0.54643,0.56613,0.57536,0.58539,0.5693,0.52863,0.47081000000000006,0.39989,0.32477,0.26469000000000004,0.24179,0.26727,0.31672,0.35868,0.38626,0.40821999999999997,0.4348,0.4583,0.48473,0.51683,0.54609,0.5657800000000001,0.57503,0.58503,0.56889,0.52822,0.47043,0.39952,0.32444,0.2645,0.24179,0.26744,0.31692,0.35881,0.38637,0.40841,0.43501999999999996,0.45856,0.48501000000000005,9
2106,0.47501000000000004,0.46713000000000005,0.4513,0.42953,0.40774,0.36935999999999997,0.31312,0.24909,0.18647,0.16479000000000002,0.20855,0.26984,0.33018000000000003,0.38585,0.42899,0.44553000000000004,0.44556,0.46058999999999994,0.4715,0.47486000000000006,0.47298,0.46515,0.44937,0.42772,0.40593,0.36749,0.31128,0.24731999999999998,0.18507,0.165,0.21003000000000002,0.27152,0.33197,0.3877,0.43073999999999996,0.44726000000000005,0.44743,0.46257,0.47353,0.4769,1
4901,0.3162,0.36056,0.40169,0.43409,0.46593,0.48586,0.47833000000000003,0.45191000000000003,0.41344,0.36753,0.32039,0.27103,0.22504000000000002,0.19086,0.20397,0.21269000000000002,0.21823,0.23875,0.26158000000000003,0.28183,0.31543000000000004,0.35974,0.40087,0.43323,0.46505,0.48498,0.47757,0.45116000000000006,0.4127,0.36682,0.31972,0.27045,0.22458000000000003,0.19085,0.20432999999999998,0.21309,0.21868,0.23926,0.26215,0.28249,2
6050,0.5227,0.54794,0.56502,0.5715399999999999,0.5688300000000001,0.5473600000000001,0.49751000000000006,0.43341,0.36421,0.30598000000000003,0.27425,0.28793,0.34304,0.39705999999999997,0.42382,0.43672,0.45093,0.47112,0.48582,0.50269,0.52742,0.5525899999999999,0.56955,0.57609,0.57334,0.55171,0.50171,0.4375,0.36796,0.30865,0.27487,0.28511,0.33937,0.39295,0.41946000000000006,0.43227,0.44665,0.46673000000000003,0.48127,0.49801000000000006,10
4400,0.43291,0.46058000000000004,0.4856,0.50549,0.53249,0.5404,0.5150399999999999,0.46766,0.40852,0.35026,0.31085,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39424000000000003,0.40871999999999997,0.41562,0.43291,0.46058000000000004,0.4856,0.50549,0.53249,0.5404,0.5150399999999999,0.46766,0.40852,0.35026,0.31085,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39424000000000003,0.40871999999999997,0.41562,0
3171,0.42351000000000005,0.45153000000000004,0.47678999999999994,0.49751999999999996,0.5261100000000001,0.53292,0.50627,0.45863999999999994,0.40002,0.34446,0.30838000000000004,0.29774,0.32395,0.3663,0.39529000000000003,0.39404,0.38727,0.4029,0.41746000000000005,0.42458999999999997,0.44188999999999995,0.46924,0.49399,0.51325,0.53857,0.54737,0.5233800000000001,0.47629,0.41675,0.35609,0.31355,0.2948,0.31268,0.35252,0.38485,0.38592,0.37371,0.38598000000000005,0.40034000000000003,0.40704,0
559,0.4329,0.46057,0.48558999999999997,0.50549,0.53249,0.5403899999999999,0.51503,0.46765,0.40851,0.35025,0.31084,0.29599000000000003,0.31808000000000003,0.35925999999999997,0.39005,0.38996,0.38027,0.39425,0.40871999999999997,0.41563,0.43291999999999997,0.46058999999999994,0.4856,0.5055,0.5325,0.5404100000000001,0.51505,0.46767,0.40853,0.35026,0.31085,0.29599000000000003,0.31806999999999996,0.35925,0.39004,0.38996,0.38026,0.39423,0.40871,0.41561000000000003,0
6287,0.47297,0.46513000000000004,0.44936000000000004,0.42771000000000003,0.40592,0.36748000000000003,0.31127,0.24731,0.18506,0.165,0.21004,0.27153,0.33198,0.38771,0.43075,0.44727,0.44745,0.46258,0.47353999999999996,0.47691999999999996,0.47502,0.46715,0.45131000000000004,0.42955,0.40775,0.36937,0.31313,0.2491,0.18648,0.16479000000000002,0.20854,0.26983,0.33016999999999996,0.38584,0.42898000000000003,0.44551999999999997,0.44555,0.46057,0.47148999999999996,0.47485,1
2662,0.58414,0.57609,0.5607800000000001,0.53767,0.5152399999999999,0.47148999999999996,0.40402,0.32674000000000003,0.27578,0.31144,0.39068,0.46747,0.5373600000000001,0.5924699999999999,0.60901,0.6057100000000001,0.60247,0.60497,0.59915,0.59104,0.58524,0.57715,0.56179,0.53863,0.51617,0.47246000000000005,0.40497,0.32761,0.27597,0.31085999999999997,0.3898,0.46653,0.53637,0.5915600000000001,0.60817,0.60487,0.60145,0.6039,0.59805,0.58992,6
1204,0.51715,0.54642,0.56613,0.57535,0.58539,0.5693,0.52863,0.47081000000000006,0.39989,0.32476,0.26469000000000004,0.24179,0.26727,0.31672,0.35868,0.38627,0.40823000000000004,0.4348,0.4583,0.48473,0.51684,0.54609,0.5657800000000001,0.57503,0.58503,0.5689,0.52823,0.47043,0.39952,0.32444,0.2645,0.24179,0.26744,0.31692,0.3588,0.38637,0.40841,0.43501999999999996,0.45856,0.48501000000000005,9
6532,0.47483000000000003,0.46697,0.45114,0.42938000000000004,0.40759,0.3692,0.31296,0.24894000000000002,0.18635,0.16480999999999998,0.20868,0.26999,0.33034,0.38602,0.42913999999999997,0.44569,0.44573,0.46076000000000006,0.47168000000000004,0.47503999999999996,0.47315,0.46531000000000006,0.44953000000000004,0.42787,0.40608,0.36765,0.31143000000000004,0.24747,0.18517999999999998,0.16498,0.2099,0.27137,0.33181,0.38754,0.43059,0.44711000000000006,0.44727,0.4624,0.47335,0.47673000000000004,1
2276,0.52288,0.54814,0.56522,0.57176,0.56905,0.5475399999999999,0.49767,0.43358,0.36436,0.30611,0.27432,0.28786999999999996,0.34295,0.39695,0.42368,0.43658,0.45081000000000004,0.47098,0.48567,0.50252,0.52723,0.55238,0.56935,0.57586,0.57311,0.55153,0.50155,0.43733999999999995,0.3678,0.30851,0.2748,0.28515999999999997,0.33946,0.39305999999999996,0.41958999999999996,0.4324,0.44677,0.46686000000000005,0.48141999999999996,0.49817,10
