,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
3137,0.22316,0.3324,0.42999,0.50757,0.5708300000000001,0.62415,0.6649,0.68814,0.69263,0.67808,0.64481,0.5937100000000001,0.5262100000000001,0.44423999999999997,0.35420999999999997,0.28600000000000003,0.2383,0.1376,0.016229,0.10577,0.22307,0.33233,0.42994,0.50756,0.5708,0.62408,0.66481,0.68805,0.6925399999999999,0.67798,0.64471,0.5936100000000001,0.5261,0.44411999999999996,0.35406,0.28576,0.23809,0.13749,0.016138,0.10585,7
2419,0.24179,0.35309,0.45403000000000004,0.5385300000000001,0.59453,0.63771,0.6725800000000001,0.6916399999999999,0.69214,0.67328,0.6371,0.58639,0.5189199999999999,0.4384,0.35858,0.30035,0.23885,0.1267,0.0061133,0.12293,0.24188,0.35318,0.45411999999999997,0.53863,0.59465,0.6378199999999999,0.67267,0.6917399999999999,0.69223,0.67337,0.6371899999999999,0.5864699999999999,0.519,0.43846999999999997,0.35859,0.30033000000000004,0.23889000000000002,0.12679,0.0061284,0.12284,0
1357,0.38040999999999997,0.48938000000000004,0.58408,0.65779,0.70697,0.73832,0.75857,0.76018,0.7414,0.70218,0.64494,0.57284,0.48483000000000004,0.38723,0.30901,0.22874,0.12319000000000001,0.0092031,0.13582,0.26295,0.3829,0.49187,0.58657,0.6603600000000001,0.70954,0.7408600000000001,0.7610600000000001,0.76267,0.7438899999999999,0.70467,0.64741,0.5753,0.4873,0.38952,0.31088000000000005,0.23060999999999998,0.12558,0.0093655,0.13324,0.26042,5
4120,0.20443,0.30767,0.40104,0.4752,0.53441,0.58617,0.62907,0.65586,0.66523,0.65688,0.6310399999999999,0.5884699999999999,0.53045,0.45902,0.38088,0.32442,0.27716999999999997,0.18399000000000001,0.070113,0.043232,0.15350999999999998,0.25701,0.35072,0.42554,0.48458,0.53588,0.57886,0.6057899999999999,0.61533,0.60714,0.5814699999999999,0.53908,0.48128999999999994,0.41035,0.33771,0.2879,0.23729,0.13491,0.021804,0.091865,4
2803,0.17815,0.28153,0.37508,0.44959,0.50871,0.56021,0.60315,0.63002,0.63947,0.63121,0.60545,0.56297,0.50507,0.43387,0.35813,0.30516,0.25728,0.15865,0.045035000000000006,0.068446,0.17833,0.2817,0.37524,0.44973,0.50885,0.5603899999999999,0.60333,0.6302,0.63966,0.63139,0.60564,0.56316,0.50526,0.43408,0.35843,0.30551999999999996,0.25756,0.15885,0.04523,0.068257,4
5196,0.32009,0.42541,0.51845,0.59009,0.63963,0.68089,0.70955,0.71944,0.70999,0.6813899999999999,0.63443,0.5704600000000001,0.49158,0.40364,0.3273,0.25043000000000004,0.15500999999999998,0.0368,0.08544299999999999,0.20558,0.32005,0.42538000000000004,0.5184300000000001,0.59011,0.63964,0.68085,0.7095100000000001,0.71941,0.70995,0.68135,0.63439,0.5704100000000001,0.49153,0.40352,0.32705,0.2502,0.15492999999999998,0.036745,0.085484,0.20561999999999997,6
4412,0.3198,0.42512,0.5181600000000001,0.58965,0.6392399999999999,0.68062,0.70929,0.71918,0.70973,0.68114,0.63418,0.5702,0.49132,0.40333,0.32691,0.25003000000000003,0.15471,0.036521,0.085721,0.20585,0.32032,0.42565,0.51871,0.5905199999999999,0.6400100000000001,0.68111,0.7097600000000001,0.71965,0.7102,0.6816,0.63463,0.5706600000000001,0.49178,0.40381,0.32742,0.25058,0.15521,0.037009,0.085222,0.20536,6
5245,0.24713000000000002,0.3612,0.46385,0.5484,0.6081300000000001,0.65198,0.6883199999999999,0.70841,0.70921,0.68997,0.65285,0.6008100000000001,0.53146,0.44848000000000005,0.36496,0.30662,0.2469,0.13224,0.006973699999999999,0.12489000000000001,0.24724000000000002,0.36132,0.46397,0.5485800000000001,0.60832,0.65215,0.6884399999999999,0.70853,0.70932,0.69008,0.65295,0.60091,0.53157,0.44858000000000003,0.36507,0.30675,0.24702,0.13235,0.0070143,0.12478,2
6407,0.32006999999999997,0.42539,0.51845,0.59013,0.63966,0.68087,0.70953,0.71942,0.70997,0.68137,0.63441,0.5704199999999999,0.49154,0.40353,0.32706,0.25021,0.15494000000000002,0.03676,0.08546799999999999,0.2056,0.32006999999999997,0.42539,0.51844,0.59008,0.63961,0.68087,0.70953,0.71942,0.70998,0.68138,0.63442,0.57044,0.49157,0.40363000000000004,0.32729,0.25042,0.155,0.036785000000000005,0.08546000000000001,0.2056,6
4221,0.38669000000000003,0.49558,0.59016,0.66313,0.71223,0.7438899999999999,0.76448,0.7661600000000001,0.7474,0.70822,0.65133,0.5794,0.49151000000000006,0.39482,0.31804,0.2376,0.12969,0.009959299999999999,0.12975,0.25694,0.37695,0.48598,0.5808,0.65527,0.7045600000000001,0.7356699999999999,0.75547,0.757,0.73821,0.69899,0.6414300000000001,0.56907,0.48100000000000004,0.38256,0.30230999999999997,0.22214,0.11936,0.0091257,0.139,0.26611,5
